Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AMZN,GOOGL,META,MSFT,NFLX,AMZN,GOOGL,META,MSFT,NFLX,AMZN,GOOGL,META,MSFT,NFLX,AMZN,GOOGL,META,MSFT,NFLX,AMZN,GOOGL,META,MSFT,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,97.69750213623047,68.98617553710938,195.6924591064453,165.39088439941406,381.04998779296875,97.72550201416016,69.04339707526154,195.82196926169493,165.5153222915378,381.3599853515625,93.5,65.94471714591015,188.13134614823423,155.35965672866865,364.5,95.32450103759766,67.24798779173007,193.29162660169925,158.23119253790156,373.1099853515625,135234000,55430000,24949000,71030800,6997900
2020-03-03,95.44950103759766,66.56774139404297,185.1826171875,157.46548461914062,368.7699890136719,99.81649780273438,70.074474248836,196.4894321976902,167.5062958390929,393.5199890136719,94.40450286865234,66.14575530731636,183.26992534238775,155.31183224406658,367.3999938964844,98.76850128173828,69.55147725951427,195.4733094297256,166.3576841601314,381.0299987792969,150690000,56602000,27984100,71677000,8364600
2020-03-04,98.79149627685547,68.75130462646484,191.0302734375,163.24684143066406,383.7900085449219,98.9000015258789,68.81002200894605,191.1000143567284,163.39041240338062,384.010009765625,96.0999984741211,66.53191209538853,185.68071323213715,158.52794252039857,370.510009765625,97.32849884033203,67.6246871548153,188.45013303907226,161.27505550994934,377.7699890136719,95458000,47598000,23062500,49814400,5487300
2020-03-05,96.20149993896484,65.42520904541016,184.46534729003906,159.15011596679688,372.7799987792969,98.03600311279297,67.35946593346003,188.2708178559003,163.5531294844052,391.3999938964844,95.5,64.77233214000819,183.19021945243765,158.59495053526152,368.6400146484375,96.6500015258789,66.95738129290719,186.06922116087372,158.93953547189074,381.0,94964000,54380000,19333400,47817300,8747000
2020-03-06,95.05449676513672,64.4787368774414,180.40086364746094,154.65138244628906,368.9700012207031,95.54350280761719,64.82756356054318,183.0806293631662,156.1254313406518,371.30999755859375,93.4749984741211,62.56140121868282,175.58924224726343,149.319889632788,356.8500061035156,93.75,63.19537131559653,177.65137221908617,155.64684195080312,367.70001220703125,105472000,64640000,24559600,72821100,8147200
2020-03-09,90.03050231933594,60.50025177001953,168.85499572753906,144.17025756835938,346.489990234375,93.13849639892578,62.338463471328105,174.33406638536482,150.99494667832099,357.4700012207031,88.06449890136719,59.61697392511775,164.56139915324968,143.57681142154135,341.7200012207031,88.69300079345703,59.96132825146764,168.9546212743347,144.53399016435162,343.8599853515625,156264000,69252000,29949000,70419300,7405500
2020-03-10,94.59100341796875,63.45512390136719,177.5119171142578,154.0291748046875,364.1300048828125,94.7135009765625,63.48896251764609,177.61152745321115,154.13446503233638,364.5400085449219,90.90850067138672,60.436554559183975,168.85498366139,146.0463089805732,347.8500061035156,93.54399871826172,62.421070002563646,174.0053078876241,151.38736719102417,356.42999267578125,142666000,54872000,24517800,65354400,7604400
2020-03-11,91.04299926757812,60.25691223144531,169.59217834472656,147.05137634277344,349.9200134277344,93.56600189208984,62.54746342368469,175.21071541879763,150.9470862685925,362.9800109863281,90.07499694824219,59.273614377572834,167.0219943894663,144.67756252194508,344.7900085449219,92.89250183105469,62.11652506586974,173.3478211345171,150.40150197475725,358.9200134277344,112496000,54732000,20373900,56371600,6036000
